"Name","Phone","Rating","Votes","Locality","City"
"Goel Brothers Medical Hall","+ 91  9881629615","","0","Jwalapur","Haridwar"
"Ujma Medical Store","+ 91  9045033747","5.0","2","Jwalapur","Haridwar"
"Sai Medical Store","+ 91  8967586826","","0","Kankhal","Haridwar"
"Lifeline Medicals & Cosmetics","+ 91  9232456882","","0","Jwalapur","Haridwar"
"Hari Kripa Medical Store","+ 91  9933170043","","0","Haridwar H O","Haridwar"
"Maa Mansa Medical Hall","+ 91  8924846807","","0","Haridwar H O","Haridwar"
"Shri Balaji Medical Store","+ 91  9898286123","","0","Sarai","Haridwar"
"Bharat Medicos","+ 91  8487394260","","0","Kankhal","Haridwar"
"Ali Medical Store","+ 91  9760147811","","0","Sultanpur","Haridwar"
"Prem Laxami Medical Store","+ 91  9077567465","","0","Kankhal","Haridwar"
"Shree Sai Medicos","+ 91  9853659594","","0","Jwalapur","Haridwar"
"Bharat Medical Store","+ 91  9895832605","5.0","1","Jwalapur","Haridwar"
"Haridwar Medical Store","+ 91  8447623430","","0","Jwalapur","Haridwar"
"Paliwal Medical Store","+ 91  9825824704","","0","Jwalapur","Haridwar"
"Rajesh Medicine","","","0","Kankhal","Haridwar"
"Aarif Medical Store","+ 91  9075870399","","0","Sarai","Haridwar"
"Goel Brothers Medical Hall","+ 91  9835272721","","0","Jwalapur","Haridwar"
"Medicalbabu","+ 91  962176604","5.0","82","Kankhal","Haridwar"
"Guru Kripa","+ 91  9366813190","","0","Sitapur","Haridwar"
"Green Remedies Ayurvedic Medicine","+ 91  9421402594","3.0","1","Haridwar H O","Haridwar"
"Shekhar Medical","+ 91  13344708361","4.0","6","Haridwar H O","Haridwar"
"Tirupati Medical Store","+ 91  9467243453","4.5","2","Jwalapur","Haridwar"
"V Medicos","+ 91  7218386534","","0","Jwalapur","Haridwar"
"Kankhal Medical Store","","","0","Kankhal","Haridwar"
"Apna Medical Store","+ 91  7329675347","4.3","2","Jwalapur","Haridwar"
"Kanha Medical Store","+ 91  8119172750","","0","Kankhal","Haridwar"
"Sahara Medical Store","+ 91  9085184600","5.0","1","Jwalapur","Haridwar"
"Jan Aushadhi Store","+ 91  13356544396","","0","Jwalapur","Haridwar"
