"Name","Phone","Address"

"Rescue Car Zone","+ 91  80 39828192",""
"Bangalore Car Care","+ 91  80 33090859",""
"Sahi International Motors","+ 91  80 33532146",""
"Lakshmi Hyundai","+ 91  8884499031",""
"Four Doors","+ 91  80 33722541",""
"Road Rescue India Pvt Ltd","+ 91  9731806137",""
"Om Sri Satya Sai Automotive","+ 91  80 33092299",""
"Car Smile","+ 91  80 33538895",""
"Perfect Motors","+ 91  80 33090525",""
"SGR Motors","+ 91  80 33058919",""
"Auto Crate","+ 91  80 33092306",""
"Bosch Car Service Ultimate ...","+ 91  80 65355511",""
"Maxam Motors","+ 91  80 33532096",""
"Drwheelz","+ 91  7795891113",""
"Sri Manjunatha Automobile W...","+ 91  80 33673008",""
"Prestige Car Care","+ 91  80 33531927",""
"Auto Vision","+ 91  80 33644884",""
"Carmozo","+ 91  80 33293159",""
"N Z Motors","+ 91  80 33292523",""
"Technokraft Multibrand Car ...","+ 91  80 33640406",""
"Nithiya Motors","+ 91  80 33092300",""
"Ali Garage 24/7","+ 91  80 33530658",""
"Fast Wheels Bosch Car Servi...","+ 91  80 39558242",""
"Fusion Motors","+ 91  80 33094599",""
"Chandana Motors","+ 91  80 33724576",""
"Vinyaka Auto Works","+ 91  80 30119354",""
"Alfa Automotive Performance...","+ 91  80 33057132",""
"Sun Motors","+ 91  80 33083353",""
"Sri Sai Service","+ 91  80 33539869",""
"U M Cars Pvt Ltd","+ 91  80 33674933",""
"United Cars","+ 91  80 33912250",""
"SLV Motors","+ 91  80 33910947",""
"Lumas Auto Garage","+ 91  80 33081769",""
"JAYANTH AUTOMOTIVE","+ 91  80 33511432",""
"Mahindra First Choice Services","+ 91  80 33092293",""
"Bangalore Car Garage","+ 91  80 33511074",""
"Sri Sai Motors","+ 91  80 33912162",""
"Bosch Car Service","+ 91  80 33082816",""
"shreya multi cars service c...","+ 91  80 33090181",""
"R Southern Motors","+ 91  80 33910467",""
"Ultimate Carz","+ 91  80 33059280",""
"J L Service Centre","+ 91  80 33619515",""
"Octane Automotive","+ 91  80 42032974",""
"Lucky life Metro","+ 91  80 33091681",""
"South Motors","+ 91  80 33054278",""
"J K Motors","+ 91  80 33294488",""
"New Karnataka Motors","+ 91  80 33293494",""
"Om Durga Shakthi Auto Garage","+ 91  80 33057533",""
"Star Noble Graphix","+ 91  80 33530018",""
"Limra Car Decor","+ 91  80 33532426",""
"R A Car Care","+ 91  8553909991",""
