"Name","Phone","Address"

"Singh Computers","+ 91  183 5058535","35 A A Block Market Ranjit Avenue, Amritsar - 143001, Near Parvati Hospital"
"Arora Electronics","+ 91  9878030245","Shop Number 6, Majitha Road, Majitha, Amritsar - 143601, Opposite power colony"
"Connect Broadband","+ 91  183 5094327","Sco 5, District Shopping Complex, Ranjit Avenue, Amritsar - 143001"
"BAJAJ INTERNATIONAL","+ 91  183 5053300","shop no 87, Ground Floor, NEHRU SHOPPING COMPLEX, Lawrence Road, Amritsar - 143001, Opp. Novelty sweets"
"JAIDEEP STATIONERS","+ 91  9855353366","Shop no. 72, Ranjit avenue C Block, Amritsar - 143001, Main market"
"Jai Shiv Shanker Telecom","+ 91  8728871000","Second Floor Queens Complex, Queens Road, Amritsar - 143001, Near Sant Foot Wear"
"robin recharge point","+ 91  8427372586","link road, Amritsar - 143001, liberty market"
"Bhavya Enterprises","+ 91  9464776016","main bazaar, Albert Road, Amritsar - 143001, Opposite Bsnl Office"
"THE GREEN TIME","+ 91  9463498864","ALBERT ROAD, Amritsar - 143001, OPP CANAL OFFICE"
"balaji Telecom","+ 91  7837579757","Main bazar, gt road, Amritsar - 143001, Opp railway station"
"Kuldeep Radio","+ 91  9888197946","Tahab, Chowk Chintpurani, Amritsar - 143001, Near Mata Chintpurni Mandir"
"LOVE TELECOM","+ 91  9417828786","Main bazaar, Fatehgarh Churian Road, Amritsar - 143001, OPP TAJ PALACE"
"united telecom","+ 91  9888102342","shop no.3, braham nagar, Amritsar - 143001, lawerence road"
"option telecom","+ 91  9815026671","shop no. 1, gt road, Amritsar - 143001, opp. Ckd school"
"Parteek Communication","+ 91  9464004540","Lawrence Road, Lawrence Road, Amritsar - 143001, Near Janta Dhaba"
"RAKESH ENTERPRISES","+ 91  7696353638","shop no 45, Choura Bazar, Hakima Gate, Amritsar - 143006, Near Hakima Gate"
"Bansal electricals","+ 91  183 2545796","Shop no 1405, Katra sher Singh, Katra Sher Singh, Amritsar - 143006, Opp Bhalla traders"
"BHANDARI TELECOM","+ 91  9888008718","SHO NO 13, KATRA SHER SINGH ROAD, Katra Sher Singh, Amritsar - 143006, Near reagent cinema"
"Saurav Telecom","+ 91  7589304402","janta colony, Green avenue, Amritsar - 143001, near shiv mandir"
"DS TELECOM","+ 91  9988424186","Shop no-23, GANPATI TOWER ROAD, Lawrence Road, Amritsar - 143001, Near Lawrence Road Ext"
"Mobile junction","+ 91  9780871783","A Block Market, Ranjit Avenue, Amritsar - 143001, Ranjit Avenue"
"Bhatia communication","+ 91  9814859553","Gt Road, Amritsar - 143001, Opposite sangam cinema"
"Namhey Travels","+ 91  9888146700","Office No. 28, Balaji Complex, Liberty Market, Amritsar - 143001, Opp. Railway Station"
"RADHA SWAMI TELECOM","+ 91  9781249776","Shop no 226, Near sangam cinema, Amritsar - 143001, Bus stand"
"Sukhwinder Telecom","+ 91  9023222114","Shaheed Udham Singh Nagar,, Taran Taaran Road,, Amritsar - 143001"
"Arora Time Centre","","Bazar MAI Chowk,, Near Golden Temple,, Amritsar - 143001"
"Laddi CD Store","+ 91  9878992397","shop.,,., Ram Bagh, Amritsar - 143001, Katra Baghian, Main Bus Stand,near kotwali..,"
"Rs Malhi Telecom","+ 91  8872121210","Banghu Market, Near Girl govt School(7km from amritsar), Amritsar - 143001, Debi Wala Bazar, verka"
"ritesh telecom","+ 91  9915929735","ranjit avenue, Amritsar - 143001, near paarvati hospital"
"Sukhraj Electronics","+ 91  9781209698","Fateh Singh Colony, Anghar road, Main Road, Amritsar - 143001, Outside Gate Hakima"
"gurdeep telecom","+ 91  9988582550","Na, Main market, Amritsar - 143001, Near bus stand city"
"sINGH MOBILE SHOP","+ 91  8427432584","sHOP NO 76A, Fategarh Churian road, Amritsar - 143001, OPP cooperative bank"
"Bhatia Telecom","+ 91  9780989500","Shop no. 5, Indra colony, Amritsar - 143001, majitha road"
"Khushbu Enterprises","+ 91  9517775554","Shop mo. 402, Nagina avenue,majitha road, Amritsar - 143001, Near bedi karyana store"
"GS Telecom","+ 91  9463578649","Shop no. 42, Gopal nagar, Amritsar - 143001, Majitha road,near gopal mandir"
"Bhagat Telecom","+ 91  7837205096","Shop no. 5, Dilawari gali,putlighar, Amritsar - 143001, Near satguru collection"
"Harry Telecom","+ 91  9878062628","shop no : 2, near Gurudwara, Amritsar - 143001, majitha road"
"Gauri telecom","+ 91  9876903197","shop no.58-c, Batala road, Krishna Square, Amritsar - 143001, Back side celebration mall"
"SAHRMA WATCH","+ 91  9779347888","Main bazar, Sunder nagar, Amritsar - 143001, Near railway line"
"Ashok Recharge point","+ 91  8556049649","Shakti nagar chowk, Shakti Nagar, Amritsar - 143006, Opp.Obc bank"
"Guru kirpa communication","+ 91  9988863405","Shop no- 1, Pawan nagar bazar, Amritsar - 143001, Opposite happy stationary"
"ladi telecom","+ 91  9803983283","rattan singh chowk, Ranjit Avenue, Amritsar - 143001, chand avenue"
"KUNAL PCO","+ 91  9646791000","Shop no.4, gurudware vali gali, Amritsar - 143001, near.Gurudwara"
"Sahil Telecom","+ 91  8437331245","Gurbax Nagar, Nawankot, Amritsar - 143001, Near Bularia Kothi"
"Hero Telecom","","Namak Mandi,, Amritsar - 143001"
"SINGH MOBILE CARE","+ 91  7508900186","Gali No 11, Nawankot, Nawankot, Amritsar - 143001, Gurbax nagar Near bularia di kothi"
"KUMAR SUVIDHA CENETR","+ 91  183 2546889","Kisan kot, Amritsar - 143001, Near manohar dairy"
"Rohit telecom","+ 91  8054858876","sant nagar, St no 2, Amritsar - 143001, Nr dairy"
"Bunty recharge point","+ 91  9780655072","Kisan kot, Amritsar - 143001, Near manohar dairy"
"ROHIT TELECOM","+ 91  7837773500","Shop no 17, Hakim gate, Amritsar - 143002, Near Thana"
"Deep telecom & photostate","+ 91  9888125938","Nawankot,gurbax nagar, Amritsar - 143001, Near sharma hospital"
"Heera Lal Stationary","+ 91  9217500756","main bazaar, Fatehgarh Churian Road, Amritsar - 143001, Near St. Jude School"
"Lal bhawani telecom","+ 91  9888020762","Amritsar - 143001, Opposite trillium"
"SAI ENTERPRISES","+ 91  8437090561","Near 22 no phatak, Amritsar - 143001, Sandhu colony"
"Sai enterprises","+ 91  8427217413","Shop no 1, Gopal avenue, Amritsar - 143001, Near 22 no phatak, islamabad"
"Rama telecom","+ 91  9876955945","O/s sultanwind gate, Amritsar - 143001, Opp.b dev police station"
"Radha Krishan Telecom","","Chowk Goal Hatti,, Hall Bazar,, Amritsar - 143001"
"Happy Telecom","+ 91  8872286535","Majitha Road, Medical Enclave, Amritsar - 143001, Opposite power colony"
"Baba Deep Singh Ji TELECOM","+ 91  8427268484","Na, Fatehgarh Churian Road, Amritsar - 143001, near Sant Patric School"
"COMPUTER SHOPPE","+ 91  9914548167","SGOP NO 339, Chamrang road, Ajit Nagar, Amritsar - 143001, OPP Ravindra palace"
"Simran Telecom","+ 91  8054956115","House No 1556, Amritsar - 143001, Mohalla Ghumiar Da,Chota Hari Pura"
"Amit Telecom","+ 91  9646987474","Hakima gate road, Amritsar - 143001, Near guru kirpa medicos"
"Rohit telecom","+ 91  9779263340","shop 56, circular road, Bhagtawala, Amritsar - 143006, near akhara kallu"
"Chawla telecom","+ 91  9417497321","bhoot no13, E block market, Ranjit Avenue, Amritsar - 143001, Opp.govt school"
"JOGINDER TELECOM AND ELECTRONICS","+ 91  183 2571051","Shop no. 2, Majitha Road, Medical Enclave, Amritsar - 143001, GURU GOBIND SINGH NAGAR"
"CHAND TELECOM","+ 91  9646886649","Nawan kot, Amritsar - 143001, Opp.Ramlila ground"
"SAHIL TELECOM","+ 91  8054909958","Shop no 5, O/s Khazana gate, Amritsar - 143001, Near Gas Agency"
"Gaurav telecom","+ 91  8054004498","Loharka road, Amritsar - 143001, Near monu kulcha"
"Sajan telecom","+ 91  7307150798","Nawan kot, Nawankot, Amritsar - 143001, Near shivala"
"Rohit Telecom","+ 91  8699529860","Sant nagar chowk, Amritsar - 143001, Near dairy"
"Sharma telecom","+ 91  7837796786","Majitha road, Amritsar - 143001, Near gopal maandir"
"ROHIT COMMUNICATION","+ 91  9646971007","Near Harman dairy, Amritsar - 143001, I/s sant nagar , Bhagta wala gate"
"NAVARMAAN CABLE","+ 91  9988650113","Main Bazar, Islamabad, Amritsar - 143002, Guru Nanak pura"
"NEEL KANTH MOBILE REPAIR","+ 91  9501475340","Shop no. 5, Majitha road bye pass, Amritsar - 143002, Opposite Baba Ji Deara Sahib"
"Chohan telecom","+ 91  9914153484","Main bazar, Inside hathi gate, Amritsar - 143002, near pal dahba"
"Vicky Telecom","+ 91  9814826789","Pawan Nagar Main Bazaar, Street no. 9, Amritsar - 143002, Near State Cut"
"SATGURU TELECOM","+ 91  9888367329","298 A, Main Bazar, Tehsilpura, Amritsar - 143002"
