"Name","Phone","Address"

"Partap Agriculture Traders","+ 91  9417478826","Afgan Road, Hoshiarpur - 146001, Chara Mandi"
"Partap Provision Store","+ 91  1882 255989","Kamalpur, Hoshiarpur - 146001, Phagwara Road"
"Partap Pine Products","+ 91  1882 238890","Hariana Road, Hoshiarpur - 146001, Hoshiarpur"
"Partap Fuels","+ 91  1882 293197","Village Bajwara, Unna Road, Hoshiarpur - 146001"
"Goyal Traders","+ 91  1882 502804","SCF-5, Hoshiarpur - 146001, New Grain Market"
"Gupta Traders","+ 91  9815830560","Main Road, Saila Khurd, Hoshiarpur - 144529"
"Arora Tyre Traders(Hsp)","+ 91  9417223129","Phagwara Road, Hoshiarpur - 146001, Kamal Pur Chowk"
"Radha Krishan Traders","+ 91  9888871173","Phagwara Road, Hoshiarpur - 146001, Near Tempo Stand"
"S.S Traders","+ 91  9988052295","Phagwara Road, Hoshiarpur - 146001, Dana Mandi"
"National Traders","+ 91  9888609500","Hoshiarpur ,, Hoshiarpur - 146001"
"Sood Medicine Traders","+ 91  1882 505087","Hoshiarpur - 146001, Near Bassi Khawaza Market, Near Bus Stand"
"Azad Traders","+ 91  9815461284","Hoshiarpur - 146001"
"Vij Traders","+ 91  9815767200","Hoshiarpur - 146001"
"The Gera Cooperative Agriculture","+ 91  9814182463","Hoshiarpur - 146001"
"M/S Shiv Shakti Traders","+ 91  9815512523","Hoshiarpur ,, Hoshiarpur - 146001"
"Mandla Traders","+ 91  9463705490","Shankar Nagar,Fatehgarh Road,, Hoshiarpur - 146001"
"Badwal Traders","+ 91  9872598567","Hoshiarpur - 146001, Pajnoditta"
"K.S Traders","+ 91  9815938583",""
"Bhogal Traders","+ 91  1882 223916","Court Road, Hoshiarpur,, Hoshiarpur - 146001"
"The Marulla Co Operative Agric...","+ 91  9417847007","Hoshiarpur - 146001"
"R & R Sanito Traders","+ 91  9417649997","Old Haryana Road, Hoshiarpur - 146001, Near Aggarwal Bhawan"
"S.K. Traders A House Of Big Au...","+ 91  9872400025",""
"Arora Tyre Traders","+ 91  1882 223129","Phagwara Road, Hoshiarpur - 146001, Near Union Bank Of India"
"Sanjeev Allied Traders","+ 91  9855559946","Civil Hospital Road, Hoshiarpur - 146001, Near Parbhat Chowk"
"Bimb Traders","+ 91  9463634389","Hoshiarpur - 146001"
