"Name","Phone","Address"

"Hitech Golden Cabs","+ 91  80 65644644",""
"Rex City Taxi","+ 91  80 60122122",""
"Cab Seva","+ 91  80 46576666",""
"Just Call Cabs","+ 91  80 33762236",""
"Golden Speed Cabs","+ 91  80 39558150",""
"Go Cabs","+ 91  80 43400000",""
"Air Track","+ 91  80 33539847",""
"Mantri Cabs","+ 91  80 60003000",""
"soon cabs","+ 91  80 65900900",""
"Aishwarya Cabs","+ 91  80 44000000",""
"Yoride","+ 91  9243005600",""
"Meru Cab Company Pvt Ltd (Regi...","+ 91  80 44224422",""
"Taxi For Sure","+ 91  80 60601010",""
"Easy Cabs","+ 91  80 43434343",""
"Mega Cabs Ltd","+ 91  80 47474747",""
"Genie Cabs","+ 91  80 33993399",""
"Ola Cabs","+ 91  80 33553355",""
"Fast Track City Taxi","+ 91  80 24732020",""
"KSTDC Cabs","+ 91  80 44664466",""
"Silicon Cabs","+ 91  80 69999998",""
"City Taxi Tours And Travels","+ 91  9880298097",""
"Cel Cabs","+ 91  80 60609090",""
"A One Airport Taxi","+ 91  80 65651313",""
"Savaari Car Rentals Pvt Ltd","+ 91  8792000135",""
"ANI Technologies Pvt Ltd","+ 91  80 30853000",""
"Veena Cabs","+ 91  80 65666969",""
"K K Cabs","+ 91  80 41519999",""
"Roman City Taxi","+ 91  80 25486616",""
"A Star City Taxi & Tours & Tra...","+ 91  80 65659393",""
"Dial A Cab","+ 91  80 65686975",""
"Fast Track Driver Services","",""
"R R City Taxi","+ 91  80 26664666",""
"Spot City Transit Services Pvt...","+ 91  80 41100000",""
"Eshwar Tours & Travels","+ 91  80 26666722",""
"Taxi Pepole","+ 91  80 65474967",""
"Bvk City Taxi Tours & Travels","+ 91  80 25244444",""
"SRS Travels","+ 91  80 60503333",""
"City Safari","+ 91  80 23149999",""
"Guru City Taxi & Travels","+ 91  80 22224555",""
"Golden Travels","+ 91  80 23324376",""
"Kanchana Cabs","+ 91  80 44774477",""
"Star City Taxi","",""
"Yourcabs","+ 91  80 30600600",""
"Royal City Taxi","+ 91  80 65607777",""
"Just Call Cabs","+ 91  80 64333999",""
"Deepam City Taxi","+ 91  80 41466888",""
"Kmr City Taxi","+ 91  80 64526565",""
"J K City Taxi","+ 91  80 25259999",""
"Sri Giri Travels","+ 91  80 65651616",""
"Ravi Taxi Service","+ 91  9060988527",""
"Balaji Cabs","+ 91  9845365245",""
"Pooja City Taxi","+ 91  80 65664444",""
"I Cabs","+ 91  80 60124126",""
"Friends City Taxi","+ 91  80 25509999",""
"Guru Tours And Travels","+ 91  80 22222040",""
"Pravasi Cabs Pvt Ltd","+ 91  80 41316666",""
"Prepaid Taxi Counter","",""
"Sri balaji tours and travels","+ 91  80 25924329",""
"Citycabs","+ 91  9845141281",""
"Bangalore City Taxi","+ 91  80 41552222",""
"Sree Chowdeshwari City Taxi","+ 91  9686676698",""
"Vajra Tours & Travels City Taxi","+ 91  80 64348877",""
"Vinayaka City Taxi","+ 91  9901999939",""
"Capital Cabs","+ 91  80 65777777",""
"Metro City Taxi","+ 91  9845633777",""
"A1 Cabs","+ 91  80 25359966",""
"Travel Park","+ 91  80 25527777",""
"North City Taxi","+ 91  80 41744444",""
"Comfort Cabs","+ 91  80 42060629",""
"Maruthi Cabs","+ 91  80 65372222",""
"City Darshan City Taxi","+ 91  80 28511222",""
"Bangalore Airport Taxi","+ 91  9980910586",""
"United India Taxi Service","+ 91  80 28387700",""
"Bangalore Taxi Services","+ 91  80 32949898",""
"Sneha City Taxi","+ 91  80 26604478",""
"Metro Taxi","+ 91  80 64536677",""
"City Taxi Newtown Cabs","+ 91  9845227025",""
"Surya City Taxi","+ 91  9844033349",""
"Sedan Cabs","+ 91  80 60608080",""
"Friends Cabs","+ 91  9035359900",""
"CAB Services","+ 91  80 99029024",""
